Timestamp,Violation,Confidence
2026-02-20 21:24:35,NO-Hardhat,0.86
2026-02-20 21:24:35,NO-Mask,0.76
2026-02-20 21:27:41,NO-Hardhat,0.79
2026-02-20 21:27:41,NO-Mask,0.7
2026-02-20 21:27:42,NO-Hardhat,0.75
2026-02-20 21:27:42,NO-Mask,0.72
2026-02-20 21:27:42,NO-Mask,0.83
2026-02-20 21:27:42,NO-Hardhat,0.79
2026-02-20 21:27:42,NO-Mask,0.9
2026-02-20 21:27:42,NO-Hardhat,0.86
2026-02-20 21:27:42,NO-Mask,0.82
2026-02-20 21:27:42,NO-Hardhat,0.82
2026-02-20 21:27:42,NO-Mask,0.87
2026-02-20 21:27:42,NO-Hardhat,0.73
2026-02-20 21:27:43,NO-Mask,0.86
2026-02-20 21:27:43,NO-Hardhat,0.8
2026-02-20 21:27:43,NO-Mask,0.89
2026-02-20 21:27:43,NO-Hardhat,0.79
2026-02-20 21:27:43,NO-Mask,0.89
2026-02-20 21:27:43,NO-Hardhat,0.73
2026-02-20 21:27:43,NO-Mask,0.93
2026-02-20 21:27:43,NO-Hardhat,0.82
2026-02-20 21:27:43,NO-Mask,0.9
2026-02-20 21:27:43,NO-Hardhat,0.8
2026-02-20 21:27:43,NO-Mask,0.91
2026-02-20 21:27:43,NO-Hardhat,0.78
2026-02-20 21:27:43,NO-Mask,0.93
2026-02-20 21:27:43,NO-Hardhat,0.77
2026-02-20 21:27:43,NO-Mask,0.9
2026-02-20 21:27:43,NO-Hardhat,0.81
2026-02-20 21:27:44,NO-Mask,0.9
2026-02-20 21:27:44,NO-Hardhat,0.8
2026-02-20 21:27:44,NO-Mask,0.93
2026-02-20 21:27:44,NO-Hardhat,0.78
2026-02-20 21:27:44,NO-Mask,0.92
2026-02-20 21:27:44,NO-Hardhat,0.78
2026-02-20 21:27:44,NO-Mask,0.92
2026-02-20 21:27:44,NO-Hardhat,0.81
2026-02-20 21:27:44,NO-Mask,0.9
2026-02-20 21:27:44,NO-Hardhat,0.79
2026-02-20 21:27:44,NO-Mask,0.93
2026-02-20 21:27:44,NO-Hardhat,0.77
2026-02-20 21:27:44,NO-Mask,0.89
2026-02-20 21:27:44,NO-Hardhat,0.76
2026-02-20 21:27:44,NO-Mask,0.9
2026-02-20 21:27:44,NO-Hardhat,0.77
2026-02-20 21:27:45,NO-Mask,0.9
2026-02-20 21:28:38,NO-Mask,0.87
2026-02-20 21:28:38,NO-Hardhat,0.68
2026-02-20 21:28:38,NO-Hardhat,0.62
2026-02-20 21:28:38,NO-Safety Vest,0.28
2026-02-20 21:28:52,NO-Mask,0.86
2026-02-20 21:28:52,NO-Hardhat,0.67
2026-02-20 21:28:52,NO-Mask,0.85
2026-02-20 21:28:52,NO-Hardhat,0.66
